time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.04,-7.63471699360398e-08,1.0854001211533326e-08,10.002472968568922,6.642539309975604e-05,0.0002130390276695593,0.0,-7.63471699360398e-06,1.0854001211533326e-06,0.12364555593777157,0.005801377961572856,0.015386081789168324,0.0,462.0657789299211,463.88124823312364,463.1248369615462,463.8086304333985
0.08,-3.4415240358219426e-06,1.1423970398391285e-06,10.010043486354586,0.0005308994278756529,0.0009300873884612315,0.0,-0.0002020565189457311,7.511471841896532e-05,0.2548692059000372,0.022266128616161285,0.023783444585268293,0.0,465.8224390657283,466.8061364671398,465.9886199449187,467.91478089672967
0.12000000000000001,-2.0694840517563128e-05,9.748432995189974e-06,10.021109267533133,0.001449494956955455,0.001808764352420944,0.0,-0.0007136840610737785,0.00040381024405597096,0.2984137716509146,0.02488902664679339,0.01424174634558747,0.0,426.04238412497466,424.8171338585911,426.0571546261059,426.3934071267256
0.16,-6.639170787584213e-05,4.028408017950755e-05,10.034292756016823,0.002350078174829129,0.0022892220833883314,0.0,-0.0016060843374885703,0.0011829654060775707,0.36075043604163154,0.009374397895149707,0.0008108547545157829,0.0,435.7350195115987,434.04772312061993,435.94955907997917,434.0010092803134
0.19999999999999998,-0.00015533816348683644,0.00011355065553078121,10.051645696615555,0.0030191089409843386,0.0022974419583059458,0.0,-0.002843466740015954,0.0025120637656476912,0.5068669137616012,0.029075873623974166,-0.0017782897796508735,0.0,474.1447688635961,473.8463487602352,471.5548638396731,473.83175068691827
0.23999999999999996,-0.0002875689816169316,0.00023954118940851092,10.072132746390308,0.0042029006133681435,0.002137122418096382,0.0,-0.0037667545275533727,0.0038460932205221557,0.5174826608380222,0.031053587999575638,-0.015202796486245713,0.0,410.32661289560326,408.5354076216803,409.69889194709106,409.96287732043044
0.27999999999999997,-0.0004576685662189067,0.0004344615098390748,10.094408466515763,0.0054139316072276955,0.0014947671148615171,0.0,-0.004702575675360539,0.005973158854265966,0.5962817707054653,0.027653646323517696,-0.018984591538632366,0.0,442.0116992040545,441.54411755015303,444.26123882732804,443.843240040739
0.32,-0.0006582690122355619,0.0007228106545349129,10.119311337026673,0.0065898681761140665,0.0008883676953974629,0.0,-0.005287128335756421,0.008506241343131838,0.6488453876108725,0.03371400509099462,-0.0071738314503294485,0.0,428.78166211642275,430.28394166768925,431.0932273667876,431.8608511334381
0.36000000000000004,-0.0008774649378696723,0.0011242777932069245,10.146455788161715,0.008268098555777925,0.0006465537527713394,0.0,-0.005656679078480232,0.011649657931104063,0.7083568275639336,0.05516964571641249,-0.003079014788153379,0.0,433.17382373912193,433.69005843008813,433.0495745879902,435.7487803797932
0.4000000000000001,-0.0011100790625810217,0.0016761637575942855,10.176995794325778,0.010465098817295626,0.0005090727438652465,0.0,-0.00596629876562867,0.016082949715992327,0.8186016761147751,0.05416611049201673,-0.004566412530273882,0.0,457.561715211055,457.3841545917192,457.93898542309677,457.82117410387247
0.4400000000000001,-0.0013533072337521552,0.0024202374949318273,10.211273099213518,0.012550812057061655,0.00026955626325264603,0.0,-0.006185076333090975,0.02124926721494079,0.8952301260279503,0.04290439856573798,-0.011430387343566875,0.0,442.29535883961336,441.4467976098816,443.4140315918229,442.0260158660274
0.48000000000000015,-0.0016027123798997725,0.0033877757725607627,10.248443404515216,0.014319378931320514,6.282911623850865,0.0,-0.006261116800703109,0.02722632441266913,0.9632529348623837,0.04759317037637062,-0.023952870729712247,0.0,438.67095501329607,437.1086842896899,438.53679766722007,439.121667403944
0.5200000000000001,-0.0018494177764924796,0.0046165313134135764,10.288720462641207,0.016321267902072556,6.281874548107883,0.0,-0.006018475335251174,0.03432595612252655,1.0505554160866284,0.05574617351007634,-0.034777484589503325,0.0,448.29187004285797,446.97056724503057,446.96040154390147,447.95738590492897
0.5600000000000002,-0.002074644695289096,0.00616326088815429,10.333344599519227,0.018458821491075028,6.280514557904709,0.0,-0.0051522701271015025,0.0431656108040786,1.1805785614501996,0.030178166526837052,-0.031877164418461015,0.0,467.39037710730156,467.72886124979505,468.25432776560876,465.26305385539524
0.6000000000000002,-0.0022563218351922907,0.0080513449554974,10.381394432657782,0.019603089323860345,6.279141264602533,0.0,-0.0038695069766327824,0.05130436948576675,1.221887182289885,0.022367915634110894,-0.05457613543117174,0.0,427.1456268209797,424.2315895742233,426.9860721425265,425.9858070745646
0.6400000000000002,-0.0023712421901159277,0.010285633372677037,10.43165397494938,0.02039862971304718,6.276959639236225,0.0,-0.0017507337930629452,0.06046553916206928,1.29104563568702,0.00418987116585247,-0.0544346587445873,0.0,439.71619935514394,439.73175583919544,440.5792263822772,438.31920613760076
0.6800000000000003,-0.00237044971630337,0.012926852473646215,10.486346528050548,0.020707139640911976,6.274839359512068,0.0,0.00193755806342613,0.071606765174341,1.443480130779379,0.015232876269852242,-0.04936698422635981,0.0,476.9837566402396,477.56221757912294,477.229540681564,478.4919934236379
0.7200000000000003,-0.0022046542073222456,0.016004684748509693,10.54651190947135,0.021240961306103756,6.272923424212774,0.0,0.006477807008221901,0.08232366148263215,1.564698324668259,0.005133890562573315,-0.04416893605146182,0.0,463.96206724770815,464.5724698721675,464.6063858491541,463.4171629553017
